choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Having a Tweet go viral,social Media,2,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,225.4756338750517,None,$0,3.296,0.014335996775571402,None,None,225.4756338750517,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Learning to drive 
with a family member",social,1,0,7,7,46,,,,,,,,,,,,,,,,,,,,,,,,,228.8262540264982,None,$.01,5.318,0.020844640080667887,None,None,228.8262540264982,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Drawing a picture,nonsocial,0,0,8,8,70,,,,,,,,,,,,,,,,,,,,,,,,,234.1777926098116,None,$0,3.383,0.011023670536360441,None,None,234.1777926098116,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Viewing videos and photos on Instagram's Explore page,social Media,2,0,9,9,39,,,,,,,,,,,,,,,,,,,,,,,,,237.62877313613217,None,$.05,4.858,0.026165511188082746,None,None,237.62877313613217,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Make comments on your friend's Instagram post,social media,2,0,10,10,50,,,,,,,,,,,,,,,,,,,,,,,,,242.5301249073559,None,$.04,4.351,0.022061025801122014,None,None,242.5301249073559,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Having a celebrity comment on your Facebook post,social Media,2,0,11,11,57,,,,,,,,,,,,,,,,,,,,,,,,,246.93349408742006,None,$.01,7.098,0.0244306608824445,None,None,246.93349408742006,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Getting a slice of pizza 
by yourself",nonsocial,0,0,12,12,72,,,,,,,,,,,,,,,,,,,,,,,,,254.1004123146381,None,$.05,5.559,0.025525128115532425,None,None,254.1004123146381,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Playing volleyball
with friends",social,1,0,13,13,16,,,,,,,,,,,,,,,,,,,,,,,,,259.70209870856615,None,$.05,2.89,0.01638186362970373,None,None,259.70209870856615,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Getting breakfast
by yourself",nonsocial,0,0,14,14,84,,,,,,,,,,,,,,,,,,,,,,,,,262.63620612061914,None,$.03,3.876,0.014273793465690687,None,None,262.63620612061914,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Playing a videogame 
at home",nonsocial,0,0,15,15,98,,,,,,,,,,,,,,,,,,,,,,,,,266.5541356958979,None,$.05,3.526,0.014168047839120845,None,None,266.5541356958979,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
