choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Putting together 
a puzzle",nonsocial,0,0,95,95,60,,,,,,,,,,,,,,,,,,,,,,,,,351.6015520299552,None,$.01,1.475,0.031583943287841976,None,None,351.6015520299552,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going dancing with
a significant other",social,1,0,96,96,21,,,,,,,,,,,,,,,,,,,,,,,,,353.1350880624959,None,$.03,3.175,0.03375638707075268,None,None,353.1350880624959,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Running a marathon,nonsocial,0,0,97,97,93,,,,,,,,,,,,,,,,,,,,,,,,,356.3529292846797,None,$.01,1.551,0.022659351234324276,None,None,356.3529292846797,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Reading a book,nonsocial,0,0,98,98,92,,,,,,,,,,,,,,,,,,,,,,,,,357.9700852773385,None,$.04,1.893,0.029109192197211087,None,None,357.9700852773385,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Sharing Youtube videos with your partner,social Media,2,0,99,99,9,,,,,,,,,,,,,,,,,,,,,,,,,359.9204297737451,None,$.04,2.174,0.031591718550771475,None,None,359.9204297737451,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Shopping online,nonsocial,0,0,100,100,69,,,,,,,,,,,,,,,,,,,,,,,,,362.1380106759025,None,$.04,1.041,0.02026670821942389,None,None,362.1380106759025,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going on a weekend
getaway with family",social,1,0,101,101,18,,,,,,,,,,,,,,,,,,,,,,,,,363.2380877145333,None,$.05,1.732,0.038069240166805685,None,None,363.2380877145333,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting likes on a 
Facebook status",social Media,2,0,102,102,45,,,,,,,,,,,,,,,,,,,,,,,,,365.0387823989149,None,$.01,1.79,0.035564009682275355,None,None,365.0387823989149,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Making cookies with your partner,social,1,0,103,103,8,,,,,,,,,,,,,,,,,,,,,,,,,366.8893742460059,None,$.05,2.267,0.03361394186504185,None,None,366.8893742460059,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting ice cream
with friends",social,1,0,104,104,49,,,,,,,,,,,,,,,,,,,,,,,,,369.20852506149095,None,$.05,0.981,0.02761693950742483,None,None,369.20852506149095,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Driving to school
by yourself",nonsocial,0,0,105,105,88,,,,,,,,,,,,,,,,,,,,,,,,,370.2570646412205,None,$.05,0.995,0.025374517193995416,None,None,370.2570646412205,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Having a celebrity comment on your Facebook post,social Media,2,0,106,106,57,,,,,,,,,,,,,,,,,,,,,,,,,371.3071477911435,None,$0,2.47,0.03219695494044572,None,None,371.3071477911435,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Taking your friend 
to the spa",social,1,0,107,107,1,,,,,,,,,,,,,,,,,,,,,,,,,373.8412053968059,None,$.04,2.126,0.03153666888829321,None,None,373.8412053968059,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Taking a road trip 
by yourself",nonsocial,0,0,108,108,75,,,,,,,,,,,,,,,,,,,,,,,,,376.02515898342244,None,$.04,1.243,0.03196182718966156,None,None,376.02515898342244,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Practicing photography,nonsocial,0,0,109,109,65,,,,,,,,,,,,,,,,,,,,,,,,,377.311049481621,None,$.03,2.214,0.024969263817183673,None,None,377.311049481621,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.5431156234117,380.5435159004992,space,14.894391860347241,379.5431156234117,None,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
