choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Studying for a test alone,0,33,33,99,,,,,,,,,,,,,,,,,,,,,,,,,197.70649836886832,None,$0,3.239,0.019056665214066015,None,None,197.70649836886832,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Trying out a new 
recipe at home",0,34,34,68,,,,,,,,,,,,,,,,,,,,,,,,,200.9910231014478,None,$0,5.442,0.018618441534727026,None,None,200.9910231014478,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Getting retweeted by 
a celebrity",0,35,35,29,,,,,,,,,,,,,,,,,,,,,,,,,206.5090868432435,None,$0,2.712,0.043546806425183604,None,None,206.5090868432435,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Listening to a podcast,0,36,36,102,,,,,,,,,,,,,,,,,,,,,,,,,209.24511539216337,None,$.01,4.195,0.01500255189876043,None,None,209.24511539216337,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Buying clothes 
for yourself",0,37,37,85,,,,,,,,,,,,,,,,,,,,,,,,,213.49472405437427,None,$.02,4.126,0.016081160642897885,None,None,213.49472405437427,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Make a post on Twitter,0,38,38,53,,,,,,,,,,,,,,,,,,,,,,,,,217.66265733987348,None,$0,1.852,0.020509739046701725,None,None,217.66265733987348,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Playing volleyball
with friends",0,39,39,16,,,,,,,,,,,,,,,,,,,,,,,,,219.56299053293787,None,$0,3.023,0.016162336214620154,None,None,219.56299053293787,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Getting likes on a 
Facebook status",0,40,40,45,,,,,,,,,,,,,,,,,,,,,,,,,222.63056872973903,None,$0,2.139,0.016209921894187573,None,None,222.63056872973903,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Direct messaging friends on Instagrams,0,41,41,28,,,,,,,,,,,,,,,,,,,,,,,,,224.81459281742355,None,$.01,4.141,0.019288995298666123,None,None,224.81459281742355,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Going on a blind date,0,42,42,34,,,,,,,,,,,,,,,,,,,,,,,,,228.99918046884613,None,$0,2.758,0.020697904643839138,None,None,228.99918046884613,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
