choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Taking a nap,nonsocial,0,0,77,77,74,,,,,,,,,,,,,,,,,,,,,,,,,324.57308516855255,None,$.04,3.229,0.017395980385117582,None,None,324.57308516855255,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Taking a road trip 
by yourself",nonsocial,0,0,78,78,75,,,,,,,,,,,,,,,,,,,,,,,,,327.8573789616653,None,$.04,5.038,0.02925310151567828,None,None,327.8573789616653,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going to the beach 
alone",nonsocial,0,0,79,79,80,,,,,,,,,,,,,,,,,,,,,,,,,332.94216154534433,None,$.03,2.324,0.020922575089116435,None,None,332.94216154534433,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Listening to a podcast,nonsocial,0,0,80,80,102,,,,,,,,,,,,,,,,,,,,,,,,,335.3260636777536,None,$.04,2.478,0.026479162176656246,None,None,335.3260636777536,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Practicing photography,nonsocial,0,0,81,81,65,,,,,,,,,,,,,,,,,,,,,,,,,337.84418572175446,None,$.01,2.231,0.024692694235454837,None,None,337.84418572175446,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Make comments on your friend's Instagram post,social media,2,0,82,82,50,,,,,,,,,,,,,,,,,,,,,,,,,340.16074479291547,None,$0,2.38,0.03956105885526995,None,None,340.16074479291547,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Teaching yourself a 
different language",nonsocial,0,0,83,83,66,,,,,,,,,,,,,,,,,,,,,,,,,342.59476226509423,None,$.05,2.293,0.026337650526784273,None,None,342.59476226509423,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Doing your laundry,nonsocial,0,0,84,84,105,,,,,,,,,,,,,,,,,,,,,,,,,344.9290031390701,None,$.03,1.965,0.02684429333294247,None,None,344.9290031390701,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Uploading photos on social media,social Media,2,0,85,85,5,,,,,,,,,,,,,,,,,,,,,,,,,346.96276035422034,None,$0,2.992,0.030783915443862497,None,None,346.96276035422034,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going on a weekend
getaway with family",social,1,0,86,86,18,,,,,,,,,,,,,,,,,,,,,,,,,350.0136193299313,None,$.03,3.572,0.034331659141571436,None,None,350.0136193299313,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
